k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,noise_spectrum,f_ref_hz,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy
7,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,3.3333333333333335,2.0,4.0,10.0,2500,1000.0,0.5612,0.0136
8,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,2.857142857142857,2.0,4.0,10.0,2500,1000.0,0.53455,0.0052
9,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,2.5,2.0,4.0,10.0,2500,1000.0,0.5158666666666667,0.0008
10,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,2.2222222222222223,2.0,4.0,10.0,2500,1000.0,0.50312,0.0
11,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,2.0,2.0,4.0,10.0,2500,1000.0,0.48243636363636366,0.0
12,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.8181818181818181,2.0,4.0,10.0,2500,1000.0,0.4704,0.0
13,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.6666666666666667,2.0,4.0,10.0,2500,1000.0,0.4584923076923077,0.0
14,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.5384615384615385,2.0,4.0,10.0,2500,1000.0,0.45262857142857144,0.0
15,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.4285714285714286,2.0,4.0,10.0,2500,1000.0,0.44106666666666666,0.0
16,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.3333333333333333,2.0,4.0,10.0,2500,1000.0,0.437825,0.0
17,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.25,2.0,4.0,10.0,2500,1000.0,0.4293647058823529,0.0
18,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1764705882352942,2.0,4.0,10.0,2500,1000.0,0.4225333333333333,0.0
19,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1111111111111112,2.0,4.0,10.0,2500,1000.0,0.4171157894736842,0.0
